0,0,-0
0.000602,-0.00316,-0.00317015777434343
0.002408,-0.006308,-0.00633118587176767
0.005412,-0.009443,-0.00946997391097164
0.009607,-0.012559,-0.0125801580840905
0.014984,-0.015649,-0.0156571529101634
0.02153,-0.018707,-0.0186971515458915
0.029228,-0.021722,-0.0216966308920795
0.03806,-0.024685,-0.0246520175591185
0.048005,-0.027586,-0.0275573865098
0.059039,-0.030416,-0.030403915310587
0.071136,-0.03317,-0.0331803635652748
0.084265,-0.035843,-0.035873481116685
0.098396,-0.038431,-0.0384709683330341
0.113495,-0.040929,-0.0409620992306231
0.129524,-0.043326,-0.0433391626849435
0.146447,-0.04561,-0.0455986125407683
0.164221,-0.047773,-0.047738702719246
0.182803,-0.049805,-0.049758155177423
0.20215,-0.051694,-0.0516527182046312
0.222215,-0.053427,-0.053411143637503
0.242949,-0.054994,-0.0550124015314352
0.264302,-0.056376,-0.0564240926196166
0.286222,-0.057547,-0.0576027062052407
0.308658,-0.058459,-0.0584963515047841
0.331555,-0.059046,-0.0590491567077076
0.354858,-0.059236,-0.0592075912163919
0.37851,-0.058974,-0.0589270319547041
0.402455,-0.058224,-0.0581777771288172
0.426635,-0.056979,-0.0569494994413885
0.450991,-0.055257,-0.0552534252228458
0.475466,-0.053099,-0.053121588524287
0.5,-0.050563,-0.0506042296345885
0.524534,-0.047719,-0.0477646736977971
0.549009,-0.044642,-0.0446735498247075
0.573365,-0.041397,-0.0414030867722854
0.597545,-0.038043,-0.0380216094406304
0.62149,-0.034631,-0.0345907532998563
0.645142,-0.031207,-0.0311633955993997
0.668445,-0.027814,-0.0277834959814885
0.691342,-0.024495,-0.0244877810847486
0.713778,-0.021289,-0.0213072082636037
0.735698,-0.018232,-0.018269169356674
0.757051,-0.015357,-0.0153983666486588
0.777785,-0.01269,-0.0127181509011045
0.79785,-0.010244,-0.0102499035690225
0.817197,-0.008027,-0.00801230879439615
0.835779,-0.006048,-0.00602003946268936
0.853553,-0.004314,-0.00428243273383774
0.870476,-0.002829,-0.00280312808741458
0.886505,-0.001592,-0.00157968125686152
0.901604,-0.0006,-0.000603269418050841
0.915735,0.000157,0.000139960100706475
0.928864,0.000694,0.000668506634803474
0.940961,0.001033,0.00100457583941363
0.951995,0.001197,0.00117323931315894
0.96194,0.001212,0.00120210662126359
0.970772,0.001112,0.00112078363017245
0.97847,0.000935,0.000960372476853868
0.985016,0.000719,0.000752692282925057
0.990393,0.000497,0.000529223481291616
0.994588,0.000296,0.000319488633958435
0.997592,0.000137,0.000149177884399593
0.999398,3.5e-05,3.83737486426717e-05
1,0,0
